family,title,abstract,applicants,inventors,dates,classes
39269129,"MART-1 T CELL RECEPTORS","T-cell receptors that recognize MART-1 antigen are provided. The TCRs can be used, for example, to treat patients suffering from melanoma.",california inst of techn[us]; yang lili[us]; baltimore david[us]; wang pin[us]; economou james; ribas antoni[us],yang lili[us]; baltimore david[us]; wang pin[us]; economou james; ribas antoni[us],20080410;20081204,C07K14/4748;C07K14/4748
57794260,"NOVEL GENERATION OF ANTIGEN-SPECIFIC TCRS","The present invention contemplates methods for the generation of human antigen-specific T lymphocytes. The methods employ MHC class-II targeting signals fused to an antigen or fragment thereof to obtain MHC class presentation of RNA coded proteins. Accordingly, the present invention concerns expression vectors comprising MHC class-II targeting signal and at least one antigen or fragment thereof and its use for the in vitro generation of antigen-specific T lymphocytes. T cell clones and T cell receptors (TCRs) specific for tumor antigens or viral antigens are also described.",medigene immunotherapies gmbh[de]; helmholtz zentrum münchen deutsches forschungszentrum für gesundheit und umwelt (gmbh)[de],milosevic slavoljub[de]; ellinger christian[de]; wehner carina[de]; schendel dolores[de],20170629,A61P35/00;C07K14/4748;C12N5/0638;C12N5/0639;C07K2319/02;C07K2319/03;C07K2319/06;C12N2501/22;C12N2501/2304;C12N2501/24;C12N2502/1114;C12N2506/115;C12N2510/00;A61K35/17;A61K39/001191;A61K38/00;A61K39/001184;A61K2039/5154
51895931,"High-affinity DMF5 T cell receptor (TCR) variants","High-affinity variants of the DMF5 TCR, and methods of use thereof for the treatment and imaging of cancer in a patient.",univ massachusetts[us]; univ notre dame du lac[us],pierce brian g[us]; weng zhiping[us]; baker brian m[us],20170801,A61K35/17;A61K35/17;C07K14/705;C07K14/705
75585575,"Modified TCR And Uses Thereof","Embodiments relate to a modified cell engineered to comprise a modified TCR-CD3 complex, wherein the CD3γ, ζ-chain, CD3ε, and/or CD3δ chains of the modified TCR-CD3 complex are linked to one or more co-stimulatory signaling domains.",innovative cellular therapeutics holdings ltd[ky]; innovative cellular therapeutics inc[us],pu chengfei[cn]; chen dongqi[cn]; shen xiaogang[cn],20210429,A61K39/001188;A61P35/00;C07K14/7051;C07K14/7051;C07K14/70521;C07K14/70521;C07K14/70578;C07K14/70578;C07K16/3069;C12N5/0636;A61K2039/5156;A61K2039/5158;C07K2317/622;C07K2319/02;C07K2319/03;C07K2319/03;C07K2319/30;C07K2319/33;C12N2510/00
53756056,"Ｔ細胞受容体を発現する細胞を生産する方法および組成物","",,,20170223,C07K14/7051;C07K14/7051;C12N5/0634;C12N15/1034;C12N15/1037;C12N15/1055;C12N15/1055;A61K38/00;C12N15/1037;C12N2510/00
52141082,"HIGH-STABILITY T-CELL RECEPTOR AND PREPARATION METHOD AND APPLICATION THEREOF","The present invention provides a high-stability T-cell receptor, a hydrophobic core region of said T-cell receptor having undergone a mutation, leading to the increased stability thereof. The present invention additionally provides a preparation method and an application of the T-cell receptor.",guangzhou xiangxue pharmaceutical co ltd[cn]; li yi[cn],li yi[cn],20141231,A61K38/177;A61K38/1774;A61K38/1774;A61K47/6425;A61K47/6425;A61K49/00;A61K49/00;C07K14/7051;C07K14/7051;C07K14/7051;C07K16/2809;C07K16/2809;A61K38/00;C07K2317/76;C07K2319/30
51871270,"METHODS OF ISOLATING T CELL RECEPTORS HAVING ANTIGENIC SPECIFICITY FOR A CANCER-SPECIFIC MUTATION","Disclosed are methods of isolating a TCR having antigenic specificity for a mutated amino acid sequence encoded by a cancer-specific mutation, the method comprising: identifying one or more genes in the nucleic acid of a cancer cell of a patient, each gene containing a cancer-specific mutation that encodes a mutated amino acid sequence; inducing autologous APCs of the patient to present the mutated amino acid sequence; co-culturing autologous T cells of the patient with the autologous APCs that present the mutated amino acid sequence; selecting the autologous T cells; and isolating a nucleotide sequence that encodes the TCR from the selected autologous T cells, wherein the TCR has antigenic specificity for the mutated amino acid sequence encoded by the cancer-specific mutation. Also disclosed are related methods of preparing a population of cells, populations of cells, TCRs, pharmaceutical compositions, and methods of treating or preventing cancer.",us health[us],tran eric[us]; lu yong-chen[us]; robbins paul e[us]; rosenberg steven a[us],20160407,A61K39/0011;C07K14/7051;C12N5/0636;C12N5/0638;A61K2039/5156;A61K2039/5158;C12N2501/505;C12N2510/00;C12Q1/6881;G01N33/56977;G01N33/6866;G01N33/6869;C12N2501/998;C12N2502/99;C12Q2600/156;C12Q2600/158;G01N2333/4725;G01N2333/525;G01N2333/535;G01N2333/54;G01N2333/5406;G01N2333/5409;G01N2333/5425;G01N2333/5428;G01N2333/55;G01N2333/57;G01N2333/70596
74101558,"T CELL RECEPTOR FUSIONS AND CONJUGATES AND METHODS OF USE THEREOF","Featured is T cell receptor complexes designed to redirect the immune system against various diseases. The T cell receptor complexes of the invention have been engineered to recognize target antigen in a functionally bispecific nature. Fusion protein complexes and protein conjugate complexes are comprised of high affinity antigen-specific TCR and biologically active proteins and/or effector molecules. Also featured is methods of production of T cell receptor fusion and conjugate complexes as well as therapeutic compositions for use of the complexes.",altor bioscience llc[us],wong hing c[us]; rhode peter[us]; zhu xiaoyun[us],20210114,A61K33/243;A61K33/243;A61K38/1774;A61K38/1774;A61K38/2013;A61K38/2013;A61P35/00;A61P35/00
37943241,"Therapeutic and diagnostic cloned MHC-unrestricted receptor specific for the MUC1 tumor associated antigen","The invention provides an isolated nucleic acid encoding a receptor, other than an immunoglobulin, wherein the receptor binds to a MUC1 tumor antigen independently of an major histocompatibility complex (MHC). The invention provides a method of activating a signaling pathway and/or killing a cancer cell using a receptor that is similar to or is a T cell receptor.",univ pittsbugh of the commonwe[us],finn olivera j[us]; alajez nehad m[ca]; schmielau jan[de]; alter mark d[us],20100202,A61K35/17;C07K14/70503;C07K14/7051;C07K14/7051;C07K16/2809;C07K16/2809;C07K16/3092;C07K16/3092;G01N33/57492;A61K38/00;A61K38/00;C07K2317/34;C07K2317/34;C12N2799/027;C12N2799/027;G01N2333/4725
9953480,"","",,,20070927,C07K14/70539;A61K38/00;C07K2319/21;C07K2319/22;G01N2333/70539
55631381,"CODON-OPTIMIZED LENTIVIRAL VECTOR FOR STEM CELL REPROGRAMMING","The invention relates to methods and materials that can be used to product cytotoxic T cells that target cancer cells expressing the cancer-testis antigen NY ESO-1. Illustrative embodiments of the invention include peripheral blood stem cells transduced with a lentiviral vector that comprises a codon optimized TCR alpha and beta chain polypeptides specific for NY ESO-1. These gene -modified cells are useful, for example, in a hematopoietic stem cell transplantation setting to treat patients diagnosed with NY ESO-1 positive cancers.",univ california[us],ribas antoni[us]; koya richard c[us]; chodon thinle[us],20160407,A61K39/0011;A61K39/001188;C07K14/7051;C07K14/7051;C12N5/0638;C12N15/86;C12N15/86;A61K2039/5156;A61K2039/5156;A61K2039/5158;A61K2039/572;A61K2039/876;C12N2501/515;C12N2510/00;C12N2740/15043;C12N2740/16043;C12N2800/22
55133164,"PEPTIDES","The present invention relates to novel peptides derived from Cancer/testis antigen family 45 member A1 (CT45A1), complexes comprising such peptides bound to recombinant MHC molecules, and cells presenting said peptide in complex with MHC molecules. Also provided by the present invention are binding moieties that bind to the peptides and/or complexes of the invention. Such moieties are useful for the development of immunotherapeutic reagents for the treatment of diseases such as cancer.",immunocore ltd[gb]; adaptimmune ltd[gb],powlesland alex[gb]; chester fiona[gb]; dellacristina pietro[gb]; chillakuri chandramouli[gb]; sangani dhaval[gb]; hood graham[gb]; lim alfred[gb],20210121,C07K7/06;C07K7/06;C07K7/08;C07K14/4748;C07K14/4748;C07K14/70539
54359849,"HIGH AVIDITY HPV T-CELL RECEPTORS","The present disclosure provides T cell receptor (TCR) based molecules which are selective and specific for HPV 16/18 proteins E5, E6 and E7. The TCR are of use for the diagnosis, treatment and prevention of HPV infection, as well as for the diagnosis, treatment and prevention of HPV infection.",max-delbrück-centrum für molekulare medizin in der helmholtz-gemeinschaft[de],blankenstein thomas[de]; willimsky gerald[de],20170420,A61K39/12;A61P31/20;C07K14/7051;C07K16/08;C12N5/0636;A61K2039/5156;A61K2039/5158;A61K2039/585;C07K2318/00;C12N2510/00;C12N2710/20034;C07K16/084;C07K14/005;A61K48/00;C07K2317/565
55435962,"T-CELL RECEPTOR SEQUENCES FOR ACTIVE IMMUNOTHERAPY","The present invention provides a protein, in particular a TCR comprising a Vβ amino acid sequence with a sequence identity of at 90 %, to a sequence selected from SEQ ID NO: 1 to 27, a T-cell comprising the TCR a method of selecting a T-cell product for use in active immunotherapy based on the identification of an Vβ amino acid sequence with a sequence identity of at 90 %, to a sequence selected from SEQ ID NO: 1 to 27 in a T-cell product.",polybiocept ab[se],maeurer markus[se]; dodoo ernest[se]; geyer jakob[de],20170817,A61K35/17;C07K14/7051;A61K38/00;C12N2501/2302;C12N2501/2315;C12N2501/2321
55133188,"PEPTIDES DERIVED FROM LENGSIN (LGSN), COMPLEXES COMPRISING SUCH PEPTIDES BOUND TO MHC MOLECULES","The present invention relates to novel peptides derived from Lengsin (LGSN), complexes comprising such peptides bound to recombinant MHC molecules, and cells presenting said peptide in complex with MHC molecules. Also provided by the present invention are binding moieties that bind to the peptides and/or complexes of the invention. Such moieties are useful for the development of immunotherapeutic reagents for the treatment of diseases such as cancer.",immunocore ltd[gb]; adaptimmune ltd[gb],powlesland alex[gb]; kleijnen maurits[gb],20181115,C07K14/4748;C07K16/40;C12N9/93;C12N9/93;G01N33/573;A61K38/00;A61K38/00;G01N2333/9015
59462408,"","",immunocore ltd[gb],addis philip william; bedke nicole joy; bouard lucie; harper stephen; liddy nathaniel; mahon tara; o'dwyer ronan padraic,20200221,A61K39/001189;A61K39/001189;A61K39/00119;A61P35/00;A61P35/00;C07K14/4748;C07K14/4748;C07K14/7051;C07K14/7051;C07K16/2809;C07K16/3053;A61K2039/505;A61K2039/572;A61K2039/572;A61K2039/605;A61K2039/605;A61K2039/86;A61K2039/86;A61K2039/876;A61K2039/876;C07K2317/31;C07K2317/32;C07K2317/622;C07K2317/73;C07K2319/00
50071033,"T CELL RECEPTOR BINDING TO ALWGPDPAAA, DERIVED FROM HUMAN PRE-PRO INSULIN (PPI) PROTEIN","The present invention provides a T cell receptor (TCR) having the property of binding to 5 ALWGPDPAAA (derived from human pre-pro insulin (PPI) protein) HLA-A*02 complex and comprising a TCR alpha chain variable domain and a TCR beta chain variable domain. The alpha chain variable domain comprises an amino acid sequence that has at least 90% identity to the sequence of amino acid residues 1-112 of SEQ ID No: 2 with at least one specified substitution and/or insertion therein. The beta chain variable domain comprises an amino acid sequence that10 has at least 90% identity to the sequence of amino acid residues 1-116 of SEQ ID No: 3 with at least one specified substitution therein. Also provided are nucleic acids encoding the TCR and cells engineered to present the TCR. Therapeutic agents based on TCRs of the invention can be used for the purpose of delivering immunosuppressive agents to beta cells in order to prevent their destruction by CD8* T15 cells.",immunocore ltd[gb]; adaptimmune ltd[gb],knox andrew alexander[gb],20150625,C07K14/62;C07K14/7051;C07K14/70539;C07K2319/30
46881176,"T CELL RECEPTORS RECOGNIZING HLA-A1- OR HLA-CW7-RESTRICTED MAGE","The invention provides an isolated or purified T cell receptor (TCR) having antigenic specificity for a) melanoma antigen family A (MAGE A)-3 in the context of HLA-A1 or b) MAGE-A12 in the context of HLA-Cw7. The invention further provides related polypeptides and proteins, as well as related nucleic acids, recombinant expression vectors, host cells, and populations of cells. Further provided by the invention are antibodies, or an antigen binding portion thereof, and pharmaceutical compositions relating to the TCRs of the invention. Methods of detecting the presence of cancer in a host and methods of treating or preventing cancer in a host are further provided by the invention.",us health[us]; robbins paul f[us]; rosenberg steven a[us]; zhu shiqui[us]; feldman steven a[us]; morgan richard a[us],robbins paul f[us]; rosenberg steven a[us]; zhu shiqui[us]; feldman steven a[us]; morgan richard a[us],20130321,C07K14/7051;G01N33/57407;A61K2039/5158;C07K2317/73;C07K2318/20;C07K14/70503;C07K16/2803;G01N33/574
55968783,"T CELL RECEPTORS","The present invention relates to T cell receptors (TCRs) which bind the HLA-A*02 restricted peptide SLYNTVATL (SEQ ID NO: 1) derived from the HIV Gag gene product, p17. Said TCRs comprise non-natural mutations within the alpha and/or beta variable domains relative to a native HIV TCR. The TCRs of the invention possess unexpectedly high affinity, specificity and sensitivity for a complex of SEQ ID NO: 1 and HLA-A*02, and drive a particularly potent T cell response. Such TCRs are particularly useful in the development of soluble immunotherapeutic reagents for the treatment of HIV infected individuals.",immunocore ltd[gb],mahon tara[gb]; li yi[gb],20190411,A61K47/6425;C07K14/7051;A61K38/00;C07K16/2809;C07K2317/92;C07K2317/94;C07K2319/30
68981342,"MR1 RESTRICTED T CELL RECEPTORS FOR CANCER IMMUNOTHERAPY","The invention further relates to a method of preparing a T cell preparation expressing select MR1 recognizing T cell receptors from transgene expression vectors, the use of such T cell preparations in treatment of cancer, and to collections of MR1 reactive T cell receptor encoding nucleic acids and cells.",univ basel[ch],de libero gennaro[ch]; lepore marco[gb]; mori lucia[ch],20191226,A61K35/17;A61P35/00;A61P35/00;C07K14/7051;C07K14/70539;C12N5/0636;C12N5/0693;C12N15/85;G01N1/30;G01N33/505;G01N33/56966;G01N33/56972;G01N33/574;C07K2319/00;C07K2319/30;C12N2501/2302;C12N2501/2307;C12N2501/2315;C12N2502/1114;C12N2502/30
40565794,"Method For Screening Phage Display Libraries Against Each Other","The present invention relates to a method for screening phage display libraries against each other. In particular, the invention relates to a method for screening at least two phage display libraries against each other to identify and/or select one or more interacting binding partners or binding molecules making up such interacting binding partners. Kits providing two bispecific phage display libraries are also provided.",reiersen herald[no]; loset geir age[no]; hagemann urs beat[no]; nextera as[no],reiersen herald[no]; loset geir age[no]; hagemann urs beat[no],20111229,C12N15/1037;C40B40/08;C40B50/06
66750341,"MODIFIED T CELL RECEPTORS","Provided herein are modified T cell receptors (TCRs), pharmaceutical compositions thereof, as well as nucleic acids, and methods for making and discovering the same. The modified TCRs described herein are modified with a peptide.",janux therapeutics inc[us],campbell david[us]; bhatt ramesh[us]; diraimondo thomas r[us]; cwirla steven e[us]; williams blake m[us]; pongtornpipat praechompoo[us]; dower william j[us],20190613,A61K38/00;A61K38/17;A61K47/64;C07K7/06;C07K7/08;C07K7/64;C07K16/28
63713282,"ASSAY TO MEASURE THE POTENCY OF RECEPTOR-LIGAND INTERACTIONS IN NANOMEDICINES","Described herein, is an isolated cell comprising a recombinant T cell receptor (TCR) and a TCR- pathway-dependent reporter, wherein the recombinant T cell receptor is specific for a disease- relevant antigen bound to an MHC molecule. Also described are methods of use for the isolated cell as an assay to determine the function or potency of a peptide-major histocompatibility complex (pMHC) coupled to a nanoparticle (pMHC-NP) that can be used as a medicine for treating an autoimmune disease or cancer.",uti lp[ca],santamaria pedro[ca],20181011;20190103,A61K39/0008;A61K47/6929;C07K14/7051;C07K14/70539;C12N5/0636;G01N33/502;G01N33/505;G01N33/505;G01N33/56977;G01N33/56977;A61K2039/55516;A61K2039/605;G01N2333/90241;A61K39/0008;A61K47/6929;C07K14/7051;C07K14/70539;C12N5/0636;G01N33/502;G01N33/505;G01N33/505;G01N33/56977;G01N33/56977;A61K2039/55516;A61K2039/605;G01N2333/90241
66484209,"T CELL RECEPTORS WHICH RECOGNIZE MUTATED EGFR","Disclosed is an isolated or purified T cell receptor (TCR), wherein the TCR has antigenic specificity for a mutated EGFR amino acid sequence with a E746-A750 deletion. Related polypeptides and proteins, as well as related nucleic acids, recombinant expression vectors, host cells, populations of cells, and pharmaceutical compositions are also provided. Also disclosed are methods of detecting the presence of cancer in a mammal and methods of treating or preventing cancer in a mammal.",us health[us]; hanada kenichi[us]; zhao chihao[us]; pasetto anna[se]; yang james c[us],hanada kenichi[us]; zhao chihao[us]; pasetto anna[se]; yang james c[us],20191107,C07K14/7051
59253827,"DOSING REGIMEN FOR GP100-SPECIFIC TCR - ANTI-CD3 SCFV FUSION PROTEIN","The present invention relates to the treatment of cancer, particularly gp100 positive cancers. In particular, it relates to a dosage regimen for a T cell redirecting bispecific therapeutic comprising a targeting moiety that binds the YLEPGPVTA-HLA-A2 complex fused to a CD3 binding T cell redirecting moiety.",immunocore ltd[gb],coughlin christina[us],20200206,A61K31/4439;A61K38/177;A61K38/1774;A61K39/3955;A61P35/00;A61P35/00;C07K14/70503;C07K14/7051;C07K16/28;C07K16/2809;C07K16/2809;C07K16/2818;C07K16/2818;C07K16/2827;C07K16/2827;C07K16/2833;C07K16/3053;A61K2039/505;A61K2039/505;A61K2039/507;A61K2039/507;A61K2039/545;A61K2039/545;C07K2317/31;C07K2317/32;C07K2317/34;C07K2317/622;C07K2317/622;C07K2317/76;C07K2319/00;C07K2319/30
57797025,"HIGH AFFINITY T CELL RECEPTORS AND USES THEREOF","The present disclosure provides TCRs with high or enhanced affinity against various tumor associated antigens (including human Wilms tumor protein 1 (WT 1) epitopes and mesothelin epitopes), T cells expressing such high affinity antigen specific TCRs, nucleic acids encoding the same, and compositions for use in treating diseases or disorders in which cells overexpress one or more of these antigens, such as in cancer.",hutchinson fred cancer res[us]; adaptive biotechnologies corp[us],schmitt thomas m[us]; greenberg philip d[us]; chapuis aude g[us]; robins harlan s[us]; sherwood anna m[us],20170629,A61P35/02;A61K38/20;A61K35/12;A61K35/17;A61P35/00;C07K14/705;C07K14/435;A61K45/06;A61K9/0019;C07K14/5443;C07K14/55;C07K14/7051;A61K2300/00
32096978,"","",,,20060126,C07K14/7051;A61K38/00;C07K2319/00;G01N2500/02
60990744,"NOVEL T CELL RECEPTORS AND IMMUNE THERAPY USING THE SAME","The present invention pertains to antigen recognizing constructs against tumor associated antigens (MAGEA1). The invention in particular provides novel T cell receptor (TCR) based molecules which are selective and specific for the tumor expressed antigen of the invention. The TCR of the invention, and TAA binding fragments derived therefrom, are of use for the diagnosis, treatment and prevention of TAA expressing cancerous diseases. Further provided are nucleic acids encoding the antigen recognizing constructs of the invention, vectors comprising these nucleic acids, recombinant cells expressing the antigen recognizing constructs and pharmaceutical compositions comprising the compounds of the invention.",immatics biotechnologies gmbh[de],alten leonie[de]; bunk sebastian[de]; maurer dominik[de]; wagner claudia[de],20191024,A61K35/17;A61K38/1774;A61K39/0011;A61K39/0011;A61K47/55;A61K47/64;A61P35/00;C07K14/4748;C07K14/4748;C07K14/705;C07K14/7051;C07K14/7051;C12N5/00;C12N15/85;A61K38/00;A61K2039/572;A61K2039/572;C07K14/70514;C07K14/70517;C07K2317/21;C07K2317/24
51867776,"DESIGN AND USE OF SPECIFIC REGULATORY T-CELLS TO INDUCE IMMUNE TOLERANCE","The present invention generally relates to the production of antigen-specific T regulatory cells (Tregs). Such cells can be used in therapy to minimize undesirable immune responses such as those observed in autoimmunity and hemophilia and other diseases as well as in the response to protein therapy for genetic diseases. Methods for producing antigen specific Tregs and conditions for preferential expansion of functionally stable, specific Tregs are also provided.",jackson h m found military med[us],scott david w[us]; kim yong chan[us],20160707,A61K35/17;A61K39/0008;A61K39/0008;C07K14/7051;C12N5/0637;C12N5/0637;A61K2039/5156;A61K2039/5156;A61K2039/5158;A61K2039/5158;A61K2039/57;A61K2039/57;A61K2039/572;A61K2039/572;C12N2502/11;C12N2510/00;C12N2510/00
60543514,"T CELL RECRUITING POLYPEPTIDES CAPABLE OF BINDING CD123 AND TCR ALPHA/BETA","Polypeptides are provided that bind CD123 on a target cell and the constant domain of TCR on a T cell. The polypeptides can be used in methods for treatment of CD123 associated cancers or inflammatory conditions.",ablynx nv[be],van hoorick diane[be]; roobrouck annelies[be]; stortelers catelijne[be]; vieira joão[gb]; mcgowan edward[gb],20180524,A61K39/0011;C07K16/2809;C07K16/2866;C07K16/3061;C07K16/468;A61K2039/5158;A61K2039/572;C07K2317/24;C07K2317/31;C07K2317/622
35685841,"","",,,20090219,C07K14/7051;C12N9/1241;A61K38/00
58192383,"CHIMERIC ANTIGEN RECEPTORS AND METHODS OF USE THEREOF","The present invention provides chimeric antigen receptors, cells expressing same and methods of using same for treatment various disorders such as cancer, autoimmune disorders and graft vs host disease.",dana-farber cancer inst inc[us],novina carl[us],20170824;20171012,A61K38/1774;A61K39/001;A61K39/0011;A61K35/17;C07K14/7051;A61K2035/122;A61K2039/5156;A61K2039/5158;A61K2039/55;C07K2317/622;C07K2319/03;A61K38/1774;A61K39/001;A61K39/0011;A61K35/17;C07K14/7051;A61K2035/122;A61K2039/5156;A61K2039/5158;A61K2039/55;C07K2317/622;C07K2319/03
70416479,"LIGAND DISCOVERY AND GENE DELIVERY VIA RETROVIRAL SURFACE DISPLAY","Disclosed herein are compositions of retroviruses and methods of using the same for gene delivery, wherein the retroviruses comprise a viral envelope protein comprising at least one mutation that diminishes its native function, a non-viral membrane-bound protein comprising a membrane-bound domain and an extracellular targeting domain.",massachusetts inst technology[us],birnbaum michael[us]; dobson connor[us],20201126,C07K14/005;C07K14/4748;C07K14/5437;C07K14/70532;C07K14/70539;C07K16/2803;C12N15/86;C12N15/86;G01N33/505;C07K14/47;C07K2317/622;C07K2319/02;C07K2319/035;C07K2319/60;C12N2740/15045;C12N2740/16043;C12N2740/16045;C12N2810/85;C12N2810/852;C12N2810/855;C12N2810/859;C40B30/04;G01N33/5047
58487361,"HIGH-AFFINITY AND SOLUBLE PDL-1 MOLECULE","Provided in the present invention is a PDL-1 molecule. The affinity of the PDL-1 molecule to the PD-1 molecule is at least two times the affinity of the wild-type PDL-1 molecule to the PD-1 molecule. Meanwhile, the PDL-1 molecule of the present invention can effectively improve the killing efficiency of lymphocytes. In addition, the present invention also provides nucleic acids encoding the PDL-1 molecule of the present invention, and a complex of the PDL-1 molecules of the present invention. The PDL-1 molecule of the present invention may be used alone or in combination with other molecules.",guangzhou inst biomed & health[cn],li yi[cn]; liang zhaoduan[cn],20170413,A61K38/17;A61K38/1774;A61K38/1774;A61P35/00;A61P35/00;C07K14/705;C07K14/70532;C07K14/70532;C07K14/70532;C12N15/63;A61K38/00;C07K2319/30;C07K2319/30
38434794,"","",,,20091126,C07K14/7051
48081279,"ＣＤ１ｄに対する抗体","",,,20150129,C07K16/2833;A61K2039/505;C07K2317/33;C07K2317/34;C07K2317/52;C07K2317/55;C07K2317/565;C07K2317/76;C07K2317/92;C07K16/2803
53520814,"DOMAIN-SWAP T CELL RECEPTORS","Disclosed herein are genetically engineered T cell receptors, and methods, vectors, and genetically engineered T cells related to genetically engineered T cell receptors.",california inst of techn[us],bethune michael t[us]; gee marvin h[us]; baltimore david[us],20150716,A61K35/17;A61K35/17;C07K14/7051;C07K14/7051
36691455,"","",,,20090507,A61K39/00;C07K14/7051;C12N5/0636;A61K2039/5156
63853087,"MYC-REPORTERS, CELLS CONTAINING MYC-REPORTERS AND METHODS OF USE THEREOF","Provided are MYC-reporters and MYC-reporter expression vectors having MYC-reporter activity. Also provided are cells containing MYC-reporters and/or MYC-reporter expression vectors as well as animals containing such cells and/or genetically modified to contain one or more MYC-reporters and/or expression vectors. Also provided are methods of screening, including methods of screening a candidate agent for MYC repression. The subject methods may, in some instances, employ one or more of the provided MYC-reporters, expression vectors, cells and/or transgenic animals.",univ leland stanford junior[us],deutzmann anja[us]; felsher dean w[us]; li yulin[us],20181025,A01K67/0275;A01K67/0278;C12N15/8509;C12Q1/6886;C12Q1/6897;C12Q1/6897;G01N33/5011;A01K2217/072;A01K2217/203;A01K2217/203;A01K2217/206;A01K2227/105;A01K2267/0331;A01K2267/0331;A01K2267/0393;C12N2015/859;C12Q2600/136;C12Q2600/136
26313710,"","",,,20020528,C07K14/7051;C07K19/00;G01N33/56977;A61K47/6425;A61K38/00;C07K2319/00;C07K2319/02
72662846,"ANTI-HLA-C ANTIBODIES AND USES THEREOF","Anti-HLA-C6 antibodies and antigen-binding fragments thereof are described. Also described are nucleic acids encoding the antibodies, compositions comprising the antibodies, methods of producing the antibodies, and methods of using the antibodies for treating or preventing diseases, such as autoimmune diseases.",janssen biotech inc[us],eberwine ryan[us]; fourie anne[us]; kim paul h[us]; manthey carl l[us]; zhou hong[us],20201008,C07K16/2833;A61K38/00;C07K2317/24;C07K2317/565
34090165,"Assays For Superantigens","The present invention provides a superantigen quality control assay, particularly for SEA-E120, comprising incubating a standard amount of a superantigen-containing test sample with a standard amount of a soluble TCR which binds the superantigen, separating unbound TCR from the resultant superantigen/TCR-containing sample, quantifying the TCR bound in that sample, and comparing that result with a reference result characterising a control superantigen-containing sample. Also provided are soluble TCRs useful as reagents in said assay.",medigene ltd[gb],jakobsen bent k[gb]; pumphrey nicholas j[gb],20080417,C07K14/31;C07K14/7051;G01N33/566;G01N33/56911;G01N33/56938;G01N33/56944;C07K2319/00
68084864,"COMPOSITIONS AND METHODS FOR MAKING ENGINEERED T CELLS","The disclosure provides a vector which can be used in a method of generating engineered T cells for use in an autologous or allogeneic setting for engineered immunotherapy. The knockdown of endogenous TCR expression through a vector comprising a miRNA cassette allows for engineering of cells that efficiently express a therapeutic TCR.",kite pharma eu b v[nl],bendle gavin matthew[nl]; linnemann carsten[nl]; schrikkema deborah[nl]; weissbrich bianca[nl],20191226;20200213,A61K35/17;C07K14/7051;C12N15/1138;C12N15/86;C12N2310/141;C12N2320/31;C12N2330/51;C12N2740/13043;A61K35/17;C07K14/7051;C12N15/1138;C12N15/86;C12N2310/141;C12N2320/31;C12N2330/51;C12N2740/13043
49253425,"T CELL RECEPTORS RECOGNIZING MHC CLASS II-RESTRICTED MAGE-A3","The invention provides an isolated or purified T-cell receptor (TCR) having antigenic specificity for MHC Class II-restricted MAGE-A3. The invention further provides related polypeptides and proteins, as well as related nucleic acids, recombinant expression vectors, host cells, and populations of cells. Further provided by the invention are antibodies, or an antigen binding portion thereof, and pharmaceutical compositions relating to the TCRs of the invention. Methods of detecting the presence of cancer in a host and methods of treating or preventing cancer in a mammal are further provided by the invention.",us health[us],robbins paul f[us]; rosenberg steven a[us]; yao xin[us],20140320,A61K38/1774;C07K14/70514;A61K39/0005;C07K14/7051;C07K16/00;C07K16/2809;G01N33/57492;A61K2039/585;C07K2319/00;G01N2333/47;G01N2333/7051
63791375,"Personalized Medicine Therapeutic MiniCircle","Bispecific antibodies (bsAbs) have emerged as a class of promising anti-cancer and anti-infection biological drugs. They are capable of killing target cells, either cancer cells or microbe-infected cells, at levels of nanograms per milliliter serum in vivo, about 1e+5 folds more powerful than regular antibodies. To bypass the problems of high cost in production and inconvenience in administration, a logical solution is to use gene therapy vectors to produce them in vivo. In a series of preclinical studies, we have demonstrated that DNA MiniCircle was able to express far above therapeutic levels of bsAB persistently both in the presence as well as the absence of transfection co-factors. As a specific and intended improvement of the claimed invention, an enhanced form of bispecific antibodies incorporating a target cell-effector cell bridging device (BTEC) is additionally disclosed.",syno minicircle biotechnology co ltd[cn],xie yiwu[cn],20181018,C07K14/7051;C07K16/26;C07K16/28;C07K16/2809;C07K16/283;C07K16/2887;C07K16/30;C07K16/3069;C07K16/468;A61K2039/53;C07K2317/31;C07K2317/569;C07K2317/622;C12N2800/10;A61K39/3955;A61K48/0008;A61K48/0033;A61K48/0041;A61K48/0058;A61K48/0075;A61K48/0091;C07K16/2803;C07K16/2869;C07K2317/76
58536983,"T 세포 수용체","",adaptimmune ltd[gb],tribble nicholas; lawrance william; bagg eleanor,20190611,A61K35/17;A61K35/17;A61P35/00;A61P35/00;A61P35/00;C07K14/4748;C07K14/4748;C07K14/7051;C07K14/7051;C07K14/7051;C12N5/0636;A61K38/00;A61K38/00;A61K38/00;C12N2510/00
